iter	Passed	Remaining
844	9439	1731
845	9450	1720
846	9462	1709
847	9474	1698
848	9485	1686
849	9495	1675
850	9506	1664
851	9516	1653
852	9528	1642
853	9539	1630
854	9549	1619
855	9559	1608
856	9572	1597
857	9582	1585
858	9593	1574
859	9603	1563
860	9613	1552
861	9625	1540
862	9635	1529
863	9646	1518
864	9657	1507
865	9669	1496
866	9681	1485
867	9692	1473
868	9702	1462
869	9712	1451
870	9723	1440
871	9734	1428
872	9745	1417
873	9755	1406
874	9766	1395
875	9776	1383
876	9787	1372
877	9797	1361
878	9807	1350
879	9818	1338
880	9828	1327
881	9839	1316
882	9850	1305
883	9860	1293
884	9871	1282
885	9884	1271
886	9895	1260
887	9906	1249
888	9917	1238
889	9928	1227
890	9940	1216
891	9951	1204
892	9962	1193
893	9973	1182
894	9983	1171
895	9995	1160
896	10006	1149
897	10017	1137
898	10028	1126
899	10039	1115
900	10050	1104
901	10061	1093
902	10072	1081
903	10084	1070
904	10114	1061
905	10125	1050
906	10136	1039
907	10146	1028
908	10158	1016
909	10170	1005
910	10181	994
911	10192	983
912	10204	972
913	10214	961
914	10225	949
915	10236	938
916	10246	927
917	10258	916
918	10268	905
919	10280	893
920	10292	882
921	10303	871
922	10314	860
923	10326	849
924	10338	838
925	10348	826
926	10359	815
927	10369	804
928	10381	793
929	10391	782
930	10402	770
931	10414	759
932	10425	748
933	10436	737
934	10447	726
935	10459	715
936	10470	704
937	10482	692
938	10493	681
939	10504	670
940	10516	659
941	10527	648
942	10538	636
943	10550	625
944	10560	614
945	10571	603
946	10582	592
947	10593	581
948	10603	569
949	10614	558
950	10625	547
951	10636	536
952	10647	525
953	10659	513
954	10669	502
955	10682	491
956	10694	480
957	10706	469
958	10716	458
959	10727	446
960	10739	435
961	10749	424
962	10761	413
963	10772	402
964	10783	391
965	10794	379
966	10806	368
967	10817	357
968	10828	346
969	10840	335
970	10850	324
971	10862	312
972	10875	301
973	10886	290
974	10897	279
975	10908	268
976	10919	257
977	10930	245
978	10941	234
979	10952	223
980	10962	212
981	10973	201
982	10985	189
983	10995	178
984	11006	167
985	11017	156
986	11028	145
987	11040	134
988	11051	122
989	11062	111
990	11073	100
991	11087	89
992	11099	78
993	11110	67
994	11120	55
995	11131	44
996	11141	33
997	11153	22
998	11164	11
999	11174	0
